"Search for a brand","Zoek naar een merk"
"Press to skip carousel","Druk om de carrousel over te slaan"
"Press to go to carousel navigation","Druk om naar de carrouselnavigatie te gaan"
"Item %1","Item %1"
"Previous slide","Vorige slide"
"Display slide %1","Display slide %1"
"Next slide","Volgende slide"
"Update item","Update item"
"%1 Gallery","%1 Gallerij"
"Play video","Video afspelen"
"Open fullscreen","Open volledig scherm"
"View less","Minder weergeven"
"View more","Meer weergeven"
"%1 Gallery Navigation","%1 Gallerij Navigatie"
"Close fullscreen","Volledig scherm sluiten"
"As low as","Zo laag als"
"Apply Discount Code","Kortingscode toepassen"
"Discount Code","Kortingscode"
"Apply Discount","Korting toepassen"
Apply,Toepassen
"Cancel Coupon","Coupon annuleren"
Cancel,Annuleren
Product,Product
Price,Prijs
Qty,Qty
Subtotal,Subtotaal
"Are you sure?","Weet je het zeker??"
"Are you sure you want to remove all items from your shopping cart?","Weet u zeker dat u alle artikelen uit uw winkelwagen wilt verwijderen??"
"Clear Shopping Cart","Winkelwagen leegmaken"
"Update Shopping Cart","Winkelwagen bijwerken"
"Update Cart","Winkelwagen bijwerken"
Item,Item
"Sku: ","Sku: "
"Remove %1","Remove %1"
Remove,Verwijder
"You have no items in your shopping cart.","Er bevinden zich geen artikelen in uw winkelwagen."
"<a href=""%1""> Click here to continue shopping </a>","<a href=""%1""> Klik hier om verder te winkelen </a>"
"Proceed to Secure Checkout","Ga naar veilig afrekenen"
"Secure Checkout","Afrekenen"
"Shopping Cart","Winkelwagen"
"You can track your order status by creating an account.","U kunt de status van uw bestelling volgen door een account aan te maken."
"Email Address:","E-mailadres:"
"Create an Account","Account aanmaken"
"Your order number is: %1.","Uw bestelnummer is: %1."
"Your order # is: <span>%1</span>.","Uw bestelling # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We sturen u een orderbevestiging per e-mail met details en trackinginformatie."
"Continue Shopping","Verder winkelen"
"Minimal %1","Minimaal %1"
"Maximum %1","Maximaal %1"
to,naar
"Apply %1 Filter","Filter %1 Toepassen"
"Apply Filter","Filter Toepassen"
"Remove filter for %1: %2","Filter verwijderen voor %1: %2"
"Remove all filters","Verwijder alle filters"
"Product filters","Product filters"
"Skip to product list","Ga naar productlijst"
"Recevoir la Newsletter Atomik","Recevoir la Newsletter Atomik"
"Email Address","Email adres"
"Votre adresse email","Votre adresse email"
Inscription,Inscriptie
'This form is protected by reCAPTCHA - the <a class="underline" href="%1" target="_blank" rel="noopener">Google Privacy Policy</a> and <a class="underline" href="%2" target="_blank" rel="noopener">Terms of Service</a> apply.','Dit formulier wordt beschermd door reCAPTCHA - de <a class="underline" href="%1" target="_blank" rel="nofollow noopener">Google Privacy Policy</a> en <a class="underline" href="%2" target="_blank" rel="nofollow noopener">de servicevoorwaarden</a> zijn van toepassing.'
"Be the first to review this product","Wees de eerste om dit product te beoordelen"
"%1 rating. %2 out of %3 stars. Click to go to reviews.","%1 beoordeling. %2 uit %3 sterren. Klik voor recensies."
"%1 rating. %2 out of %3 stars","%1 beoordeling. %2 uit %3 sterren"
Items,Artikelen
"Gift Message for this Order","Cadeaubericht voor deze bestelling"
From:,Van:
To:,Naar:
Message:,Bericht:
"Product Image","Product afbeelding"
SKU,SKU
QTY,Aantal
"Gift Message","Cadeaubericht"
"Order # %1","Order # %1"
"Refund #","Terugbetaling #"
"Print Refund","Print Terugbetaling"
"Product Name","Product Naam"
"Discount Amount","Kortingsbedrag"
"Row Total","Rij Totaal"
"My Orders","Mijn bestellingen"
Order,Bestelling
Date,Datum
"Ship To","Verzend naar"
"Order Total","Bestelling Totaal"
Status,Status
View,Bekijk
"View Order","Bekijk Bestelling"
"View order","Bekijk bestelling"
"Billing Address","Factuuradres"
"Shipping Address","Verzendadres"
"Shipping Method","Verzendmethode"
"No shipping information available","Geen verzendinformatie beschikbaar"
"Payment Method","Betaalmethode"
Reorder,Reorder
"Print Order","Print Order"
"Print All Refunds","Alle terugbetalingen afdrukken"
"Print All Invoices","Alle facturen afdrukken"
"Print All Shipments","Alle zendingen afdrukken"
"Invoice #","Factuur #"
"Print Invoice","Print factuur"
"Qty Invoiced","Aantal facturen"
Close,Sluit
From,Van
To,Naar
"Active customizations","Actieve aanpassingen"
"Qty Shipped","Aantal verzonden"
Ordered,Besteld
Shipped,Verzonden
Canceled,Geannuleerd
Refunded,Terugbetaald
"Recent Orders","Recente bestellingen"
"View all orders","Bekijk alle bestellingen"
"View All","Bekijk alles"
"You have placed no orders.","U heeft geen bestellingen geplaatst."
"Shipment #","Verzending #"
"Tracking Number(s):","Trackingnummer(s):"
"My Order","Mijn bestelling"
"Gift Message for This Order","Cadeaubericht voor deze bestelling"
"Cannot add product to cart","Kan product niet aan winkelwagen toevoegen"
"Recently Ordered","Recent besteld"
"Last Ordered Items","Laatst bestelde artikelen"
"Select product ""%1"" to reorder","Selecteer product ""%1"" om opnieuw te bestellen"
"Product ""%1"" is not salable","Product ""%1"" is niet verkoopbaar"
"Add to cart selected products from list","Voeg geselecteerde producten uit de lijst toe aan winkelwagen"
"Pin It","Vastpinnen"
"Add to Compare","Toevoegen aan vergelijking"
"Your browser does not support the video tag.","Uw browser ondersteunt de videotag niet."
"Your email","Uw email"
"First Name","Voornaam"
"Last Name","Achternaam"
Subscribe,Abonneren
"There was a problem adding your item to the cart.","Er is een probleem opgetreden bij het toevoegen van uw artikel aan de winkelwagen."
Blog,Blog
"Related Posts","Gerelateerde berichten"
"Updated on","Bijgewerkt op"
"Your Customization","Uw maatwerk"
Summary,Samenvatting
"Customize %1","Aanpassen %1"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar."
"The price depends on the options chosen on the product page","De prijs is afhankelijk van de gekozen opties op de productpagina"
"Sort by","Sorteer op"
"Buy <strong class=""text-whizzy-body"">%1</strong> for <strong class=""text-whizzy-body"">%2</strong> each and <strong class=""benefit text-whizzy-body"">save<span class=""percent text-whizzy-body tier-%3"">&nbsp;%4</span>%</strong>","Buy <strong class=""text-whizzy-body"">%1</strong> for <strong class=""text-whizzy-body"">%2</strong> each and <strong class=""benefit text-whizzy-body"">save<span class=""percent text-whizzy-body tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Koop %1 voor %2 elk"
"Update Wish List","Verlanglijstje bijwerken"
"%1 reviews","%1 reviews"
Quantity,Aantal
Availability,Beschikbaarheid
"In stock","Op voorraad"
"Out of stock","Verzending binnen 2 tot 3 dagen"
"We use cookies to make your experience better.","Wij gebruiken cookies om uw ervaring te verbeteren."
"Cookies Acceptance","Cookies Accepteren"
"Close panel","Sluit paneel"
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Om te voldoen aan de nieuwe e-Privacy-richtlijn, moeten we uw toestemming vragen om de cookies te plaatsen."
"Read our policy","Lees ons beleid"
"Allow Cookies","Cookies toestaan"
"Checkout using your account","Inloggen en betalen"
Password,Wachtwoord
"Sign In","Aanmelden"
"Forgot Your Password?","Wachtwoord vergeten?"
"Checkout as a new customer","Afrekenen als nieuwe klant"
"Creating an account has many benefits:","Een account heeft veel voordelen:"
"See order and shipping status","Bekijk de bestel- en verzendstatus"
"Track order history","Volg de bestelgeschiedenis"
"Check out faster","Sneller uitchecken"
"Address Book","Adresboek"
"Manage Addresses","Beheer adressen"
"Default Billing Address","Standaard factuuradres"
"Edit Address - billing default","Adres bewerken - standaard facturering"
"Default Shipping Address","Standaard verzendadres"
"Edit Address - shipping default","Adres bewerken - standaard verzendadres"
"Contact Information","Contact Informatie"
"Change Password","Verander wachtwoord"
"Edit contact information","Contactgegevens bewerken"
Newsletters,Nieuwsbrieven
"You are subscribed to ""General Subscription"".","U bent geabonneerd op ""het algemene abonnement""."
"You aren't subscribed to our newsletter.","U bent niet geabonneerd op onze nieuwsbrief."
"Edit newsletters","Nieuwsbrieven bewerken"
"Log Out","Uitloggen"
Back,Terug
"My Account","Mijn account"
"Default Addresses","Standaardadressen"
"You have no default billing address in your address book.","Er staat geen standaard factuuradres in uw adresboek."
"You have no default shipping address in your address book.","Er staat geen standaard verzendadres in uw adresboek."
"* Required Fields","* Verplichte velden"
Address,Adres
"Street Address %1","Straatnaam %1"
City,Stad
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
"It's a default billing address.","Het is een standaard factuuradres."
"It's a default shipping address.","Het is een standaard verzendadres."
"Use as my default billing address","Gebruiken als mijn standaard factuuradres"
"Use as my default shipping address","Gebruiken als mijn standaard verzendadres"
"Save Address","Adres opslaan"
"Go back","Ga terug"
"The telephone number is too short.","Het telefoonnummer is te kort."
"Provided Zip/Postal Code seems to be invalid.","De opgegeven postcode lijkt ongeldig te zijn."
" Example: "," Voorbeeld: "
"If you believe it is the right one you can ignore this notice.","Als u denkt dat dit de juiste is, kunt u deze mededeling negeren."
Company,Bedrijf
Name,Naam
Country,Land
Actions,Acties
Edit,Wijzigen
Delete,Verwijder
"You have no other address entries in your address book.","Er zijn geen andere adresgegevens in uw adresboek."
"Add new Address","Nieuw adres toevoegen"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen??"
"Please enter your email below and we will send you the confirmation link.","Vul hieronder uw e-mailadres in. Wij sturen u dan een bevestigingslink."
Email,Email
"Send confirmation link","Bevestigingslink verzenden"
"Back to Sign In","Terug naar aanmelden"
"Account Information","Account Informatie"
"Change Email","Verander Email"
"form appears when field is selected","formulier verschijnt wanneer veld is geselecteerd"
"Current Password","Huidig wachtwoord"
"Hide Password","Verberg wachtwoord"
"Show Password","Toon wachtwoord"
"New Password","Nieuw wachtwoord"
"Password Strength","Wachtwoordsterkte"
"No Password","Geen wachtwoord"
"Confirm New Password","Bevestig nieuw wachtwoord"
Save,Opslaan
"Forgot your Password","Wachtwoord vergeten"
"Please enter your email address below to receive a password reset link.","Voer hieronder uw e-mailadres in om een ​​link te ontvangen waarmee u uw wachtwoord opnieuw kunt instellen."
"Your Email","Uw E-mail"
"Reset my Password","Mijn wachtwoord opnieuw instellen"
"Welcome Back","Welkom terug"
"Email ","Email "
"Password hidden","Wachtwoord verborgen"
"Password shown","Wachtwoord tonen"
"Your Password","Uw wachtwoord"
"Log In","Inloggen"
"Forgot Password","Wachtwoord vergeten"
"Subscription option","Abonnementsoptie"
"General Subscription","Algemeen abonnement"
"Create Account","Account aanmaken"
"Confirm Password","Bevestig wachtwoord"
"Confirm password hidden","Bevestig wachtwoord verborgen"
"confirm password shown","bevestig wachtwoord getoond"
"Sign Up for Newsletter","Aanmelden voor nieuwsbrief"
"Sign Up","Aanmelden"
"Have an account?","Al een account?"
"Address Information","Adres informatie"
"Set a New Password","Stel een nieuw wachtwoord in"
"You have signed out and will be redirected to our homepage in 5 seconds.","U bent afgemeld en wordt binnen 5 seconden doorgestuurd naar onze homepage."
"Thank you for your visit, we're looking forward to see you again soon.","Bedankt voor uw bezoek, we kijken ernaar uit u snel weer te zien.."
"No account yet?","Nog geen account?"
Fax,Fax
"Your Name","Naam"
"Your Last Name","Achternaam"
"Phone Number","Telefoonnummer"
"Subscribe to Newsletter","Abonneer u op de nieuwsbrief"
"Sign Up For Newsletter","Meld u aan voor de nieuwsbrief"
"Join 60.000+ Subscribers and get a new discount coupon on every Saturday.","Sluit u aan bij meer dan 60.000 abonnees en ontvang elke maand een nieuwe kortingsbon."
"Choose an Option...","Kies een optie..."
"%0 of %1 products in cart displayed","%0 of %1 producten in winkelwagen weergegeven"
"Something went wrong. Please try again.","Er is iets misgegaan. Probeer het opnieuw.."
"Could not remove item from quote.","Item kon niet uit offerte worden verwijderd
."
"You removed the item.","Je hebt het item verwijderd."
Cart,Winkelwagen
"Your cart is empty","Uw winkelwagen is leeg"
"Looks like you haven't made your choice yet.","Het lijkt erop dat je nog geen keuze hebt gemaakt."
"Product ""%1""","Product ""%1"""
Sku:,Sku:
"Update qty for ""%1""","Aantal bijwerken voor ""%1"""
"Remove product ""%1"" from cart","Verwijder product ""%1"" uit winkelwagen"
"Tax and shipping calculated at checkout","Inclusief 21% BTW & gratis verzending vanaf EU 90,-"
"View Cart","Bekijk winkelwagen"
"Continue shopping","Verder winkelen"
"Account Menu","Account Menu"
"Your reliable destination for high-quality electronics and innovative tech solutions, designed to keep you connected and productive.","Uw betrouwbare bestemming voor hoogwaardige cameratoezicht en innovatieve technische oplossingen, ontworpen om u verbonden en productief te houden."
"Terms & Conditions","Algemene voorwaarden"
"Shipping & Returns","Verzending & retourneren"
"Privacy Policy","Privacybeleid"
"News & Updates","Nieuws & Updates"
Sitemap,Sitemap
FAQ's,FAQ's
Contacts,Contact
"Top Picks","Top keuzes"
"Best Sellers","Best verkocht"
"New Products","Nieuwe producten"
Outlet,Uitverkoop
"Payment Providers","Betaalmogelijkheden"
"Copyright Digital Theme (Hyva) by Online Camera Shop","Copyright Digital Theme (Hyva) by online camera shop"
"Customer Service","Klantenservice"
"Contact Us","Contact OCS"
"Free Shipping","Gratis verzending"
"Find Location","Locatie vinden"
"Track Order","Order traceren"
Returns,Retouren
Faq,Faq
"Affiliate Program","Affiliate Programma"
"Store logo","Winkel logo"
"Go to Home page","Ga naar startpagina"
"Toggle search form","Zoekformulier in-/uitschakelen"
"Customer Support","Klantenservice"
Wishlist,Wenslijst
"Toggle minicart","Minikart in-/uitschakelen"
"View cart","Bekijk winkelwagen"
"Cart is empty","Winkelwagen is leeg"
"%1 items","%1 producten"
"%1 item","%1 producten"
"Main menu","Hoofdmenu"
"See all %1","Bekijk alles %1"
"Site navigation","Site navigatie"
"Open menu","Open menu"
"Close menu","Sluit menu"
"Site navigation links","Site navigatielinks"
"Open %1 subcategories","Open %1 subcategorieën"
"Back to main categories","Terug naar hoofdcategorieën"
Subcategories,Subcategorieën
"View all %1","Bekijk alles %1"
"Get ready for a dazzling summer with our new arrivals","Maak je klaar voor een schitterende zomer met onze nieuwe collecties"
"Close Notification","Melding sluiten"
"Minimum Search query length is %1","De minimale lengte van de zoekopdracht is %1"
Search,Zoeken
"Search entire store here...","Gebruik zoekfunctie..."
Projectors,Projectors
"Display content on a larger screen.","Inhoud weergeven op een groter scherm."
Speakers,Speakers
"High-quality audio output for immersive sound.","High-quality audio output for immersive sound."
"Power Banks","Power Banks"
"Portable battery for on-the-go charging.","Portable battery for on-the-go charging."
"Hubs & Docks","Hubs & Docks"
"Expand connectivity options for your devices.","Expand connectivity options for your devices."
Chargers,Chargers
"Rapidly replenish device battery life.","Rapidly replenish device battery life."
"Cabels & Adapters","Cabels & Adapters"
"Convert between different types of connectors.","Convert between different types of connectors."
Bestsellers,Meest verkocht
"Discover Top Picks","Ontdek topkeuzes"
"Top-selling tech essentials, trusted by customers for quality and performance.","Top-selling tech essentials, trusted by customers for quality and performance."
"Discover the best","Discover the best"
"Everyday Tech Essentials","Everyday Tech Essentials"
"Power up with essential electronics.","Power up with essential electronics."
"Compact & Reliable Projectors for Every Need","Compact & Reliable Projectors for Every Need"
"Shop Now","Nu winkelen"
"Portable Charging Solutions for Everyday Use","Portable Charging Solutions for Everyday Use"
"Quality Portable Speakers for Music and More","Quality Portable Speakers for Music and More"
"Durable Cables and Adapters for Every Device","Durable Cables and Adapters for Every Device"
"Powerful Hubs for Simplified Charging, All at Once","Powerful Hubs for Simplified Charging, All at Once"
"Keep all your devices powered with a single, efficient charger.","Keep all your devices powered with a single, efficient charger."
"Powerful Hubs","Powerful Hubs"
Explore,Explore
"Our Stores","Our Stores"
"Find the best digital products in our expertly shops!","Find the best digital products in our expertly shops!"
"Shops Map","Shops Map"
"Shop Locations","Shop Locations"
"Shop Paris","Shop Paris"
"Shop Paris Map","Shop Paris Map"
"Paris shop street","Paris shop street"
"77777 Paris","77777 Paris"
"Metro Gambetta","Metro Gambetta"
"Tel: ","Tel: "
"01 02 03 04","01 02 03 04"
"Shop Cergy","Shop Cergy"
"Shop Cergy Map","Shop Cergy Map"
"Cergy shop street","Cergy shop street"
"11111 Cergy","11111 Cergy"
"Acces A15 Sortie 11","Acces A15 Sortie 11"
"Paintball/Airsoft Field","Paintball/Airsoft Field"
"Paintball/Airsoft Field Map","Paintball/Airsoft Field Map"
"Groups, Bachelor Party, and more","Groups, Bachelor Party, and more"
"99999 Valmondois","99999 Valmondois"
"Our partners","Onze partners"
"Produts on Sale","Producten in uitverkoop"
"Trending Now","Trending nu"
"Most popular accessories, handpicked for style, function, and everyday convenience.","De meest populaire accessoires, zorgvuldig geselecteerd op stijl, functionaliteit en dagelijks gemak."
"25 years experience","20 jaar ervaring"
"We are all enthusiasts from the start, and we always like to share our passions.","Wij zijn allemaal vanaf het begin enthousiastelingen en delen graag onze passies."
"Receive your order within 24/48 hours anywhere in Europe.","Receive your order within 24/48 hours anywhere in Europe."
"Secure Payment","Veilige betaling"
"Top-rated payment providers to ensure the highest security standards.","Betaaldienstverleners van topklasse garanderen de hoogste veiligheidsnormen."
"Specialized Support","Gespecialiseerde ondersteuning"
"More than 25 years of accumulated experience.","Meer dan 20 jaar opgebouwde ervaring."
Loading...,Laden...
"The product was added to your cart.","Het product is toegevoegd aan uw winkelwagen."
Sku,Sku
"Cart Subtotal","Subtotaal winkelwagen"
Checkout,Veilig betalen
"Scroll back to the top of the page","Scroll terug naar de bovenkant van de pagina"
"Now Shopping by","Nu winkelen op"
" & Up"," & boven"
from,van
OK,OK
"Please select other tab to see more results","Selecteer een ander tabblad om meer resultaten te zien"
"Hot Searches","Populaire zoekopdrachten"
Products,Producten
"See all results","Bekijk alle resultaten"
"No results found.","Geen resultaten gevonden."
Categories,Categorieën
Pages,Pagina's
Posts,Berichten
Articles,Artikelen
Footer,Voettekst
Header,Koptekst
"Sign Out","Afmelden"
Sale,Sale
"Product Specifications","Product Specificaties"
"View More","Toon meer"
"Show Less","Toon minder"
"You may also like","Bijpassende producten"
"Frequently bought with","Vaak samen gekocht"
"Selected shipping method is not available. Please select another shipping method for this order.","De geselecteerde verzendmethode is niet beschikbaar. Selecteer een andere verzendmethode voor deze bestelling."
"Allow remote shopping assistance","Hulp op afstand toestaan"
"This allows merchants to ""see what you see"" and take actions on your behalf in order to provide better assistance.","Hierdoor kunnen wij ""zien wat u ziet"" en namens u actie ondernemen om u beter van dienst te zijn."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","De aanmelding bij uw account was onjuist of uw account is tijdelijk uitgeschakeld. Wacht even en probeer het later opnieuw."
"Our Location","Ons Vestigingsadres"
"Tax/VAT Number","BTW nummer"
"Shipping & Handling (%1)","Verzendkosten (%1)"
"Shipping & Handling","Verzendkosten"
"days","dagen"
"day","dag"
"hours","uur"
"hour","uur"
"minutes","minuten"
"minute","minuut"
"seconds","seconden"
"second","seconde"
"Please refresh the page in 1 minute to see the next delivery time.","Vernieuw de pagina over 1 minuut om de volgende levertijd te zien."
